a,b,num_pairs,normalized,url_a,url_b
Z164724109,Z159579203,1560,1.6132368148914167,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z159579203
Z156319401,Z163301100,1530,2.2206095791001452,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z163301100
Z156319401,Z202942703,1530,0.9714285714285714,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z202942703
Z156319401,Z159579203,1530,1.881918819188192,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z159579203
Z162737708,Z185144502,1508,1.0,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z185144502
Z162737708,Z185157302,1508,0.8803269118505546,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z185157302
Z162737708,Z164617007,1508,0.8510158013544018,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z164617007
Z164724109,Z178376102,1456,1.0146341463414634,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z178376102
Z156319401,Z178376102,1428,1.1147540983606556,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z178376102
Z162737708,Z165271500,1392,0.81786133960047,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z165271500
Z164724109,Z185144502,1352,1.33728981206726,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z185144502
Z164724109,Z185157302,1352,1.111842105263158,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z185157302
Z164724109,Z164617007,1352,1.060392156862745,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z164617007
Z159948701,Z15248840X,1332,1.7253886010362693,http://data.onb.ac.at/ABO/+Z159948701,http://data.onb.ac.at/ABO/+Z15248840X
Z158515308,Z15248840X,1332,1.2310536044362292,http://data.onb.ac.at/ABO/+Z158515308,http://data.onb.ac.at/ABO/+Z15248840X
Z202951005,Z15248840X,1332,1.2807692307692307,http://data.onb.ac.at/ABO/+Z202951005,http://data.onb.ac.at/ABO/+Z15248840X
Z156319401,Z185144502,1326,1.5472578763127187,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z185144502
Z156319401,Z185157302,1326,1.2485875706214689,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z185157302
Z156319401,Z164617007,1326,1.1828724353256022,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z164617007
Z168354908,Z180059703,1320,0.7047517351841964,http://data.onb.ac.at/ABO/+Z168354908,http://data.onb.ac.at/ABO/+Z180059703
Z168353400,Z180059703,1320,0.6885758998435054,http://data.onb.ac.at/ABO/+Z168353400,http://data.onb.ac.at/ABO/+Z180059703
Z156584406,Z180059703,1320,0.6027397260273972,http://data.onb.ac.at/ABO/+Z156584406,http://data.onb.ac.at/ABO/+Z180059703
Z168352705,Z180059703,1320,0.6885758998435054,http://data.onb.ac.at/ABO/+Z168352705,http://data.onb.ac.at/ABO/+Z180059703
Z180059703,Z168354209,1320,0.6751918158567775,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168354209
Z180059703,Z181207700,1320,0.6432748538011696,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z181207700
Z180059703,Z180618303,1320,0.671414038657172,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z180618303
Z180059703,Z156935501,1320,0.7189542483660131,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z156935501
Z180059703,Z159573900,1320,0.6303724928366762,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z159573900
Z180059703,Z260071701,1320,0.6649874055415617,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z260071701
Z180059703,Z180307607,1320,0.7104413347685683,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z180307607
Z180059703,Z221886406,1320,0.4517453798767967,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z221886406
Z180059703,Z166652606,1320,0.624113475177305,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z166652606
Z180059703,Z168352201,1320,0.6639839034205232,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168352201
Z180059703,Z203220900,1320,0.6136680613668062,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z203220900
Z180059703,Z18514440X,1320,0.6804123711340206,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z18514440X
Z180059703,Z168353308,1320,0.6358381502890174,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168353308
Z180059703,Z157645002,1320,0.4479131319986427,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z157645002
Z180059703,Z163300405,1320,0.48762467676394533,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z163300405
Z180059703,Z159574205,1320,0.6340057636887608,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z159574205
Z180059703,Z168355007,1320,0.6846473029045643,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168355007
Z180059703,Z165708902,1320,0.6423357664233577,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z165708902
Z180059703,Z164594706,1320,0.6609914872308462,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z164594706
Z162737708,Z159573705,1276,0.8400263331138907,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z159573705
Z162737708,Z185144009,1276,0.8781830695113558,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z185144009
Z162737708,Z16835460X,1276,0.8450331125827815,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z16835460X
Z159948701,Z158022808,1260,1.503579952267303,http://data.onb.ac.at/ABO/+Z159948701,http://data.onb.ac.at/ABO/+Z158022808
Z158022808,Z158515308,1260,1.0975609756097562,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z158515308
Z158022808,Z202951005,1260,1.139240506329114,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z202951005
Z257382001,Z15248840X,1258,1.3793859649122806,http://data.onb.ac.at/ABO/+Z257382001,http://data.onb.ac.at/ABO/+Z15248840X
Z15248840X,Z162737605,1258,1.2797558494404884,http://data.onb.ac.at/ABO/+Z15248840X,http://data.onb.ac.at/ABO/+Z162737605
Z15248840X,Z162737502,1258,1.2249269717624147,http://data.onb.ac.at/ABO/+Z15248840X,http://data.onb.ac.at/ABO/+Z162737502
Z164724109,Z165271500,1248,1.0356846473029047,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z165271500
Z164171807,Z15959440X,1248,1.5018050541516246,http://data.onb.ac.at/ABO/+Z164171807,http://data.onb.ac.at/ABO/+Z15959440X
Z156319401,Z165271500,1224,1.164605137963844,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z165271500
Z257382001,Z158022808,1190,1.2167689161554192,http://data.onb.ac.at/ABO/+Z257382001,http://data.onb.ac.at/ABO/+Z158022808
Z158022808,Z162737605,1190,1.13441372735939,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z162737605
Z158022808,Z162737502,1190,1.0887465690759377,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z162737502
Z156398106,Z15248840X,1184,1.2463157894736843,http://data.onb.ac.at/ABO/+Z156398106,http://data.onb.ac.at/ABO/+Z15248840X
Z164724109,Z159573705,1144,1.1193737769080234,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z159573705
Z164724109,Z185144009,1144,1.1966527196652719,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z185144009
Z164724109,Z16835460X,1144,1.1293188548864759,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z16835460X
Z156319401,Z159573705,1122,1.292626728110599,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z159573705
Z156319401,Z185144009,1122,1.399002493765586,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z185144009
Z156319401,Z16835460X,1122,1.3061699650756693,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z16835460X
Z158022808,Z156398106,1120,1.1023622047244095,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z156398106
Z202942703,Z15248840X,1110,0.7934238741958541,http://data.onb.ac.at/ABO/+Z202942703,http://data.onb.ac.at/ABO/+Z15248840X
Z159579203,Z15248840X,1110,1.7425431711145998,http://data.onb.ac.at/ABO/+Z159579203,http://data.onb.ac.at/ABO/+Z15248840X
Z163301100,Z15248840X,1110,2.1637426900584797,http://data.onb.ac.at/ABO/+Z163301100,http://data.onb.ac.at/ABO/+Z15248840X
Z158022808,Z163301100,1050,1.8134715025906736,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z163301100
Z158022808,Z202942703,1050,0.7167235494880546,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z202942703
Z158022808,Z159579203,1050,1.4935988620199145,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z159579203
Z162737708,Z168354507,1044,0.7779433681073026,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z168354507
Z162737708,Z185144101,1044,0.7653958944281525,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z185144101
Z162737708,Z168351701,1044,0.6913907284768211,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z168351701
Z162737708,Z185157405,1044,0.781437125748503,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z185157405
Z178376102,Z15248840X,1036,0.9375565610859729,http://data.onb.ac.at/ABO/+Z178376102,http://data.onb.ac.at/ABO/+Z15248840X
Z179146505,Z180059703,990,0.4600371747211896,http://data.onb.ac.at/ABO/+Z179146505,http://data.onb.ac.at/ABO/+Z180059703
Z157614406,Z180059703,990,0.4893722194760257,http://data.onb.ac.at/ABO/+Z157614406,http://data.onb.ac.at/ABO/+Z180059703
Z168355202,Z180059703,990,0.5232558139534884,http://data.onb.ac.at/ABO/+Z168355202,http://data.onb.ac.at/ABO/+Z180059703
Z220030607,Z180059703,990,0.4247104247104247,http://data.onb.ac.at/ABO/+Z220030607,http://data.onb.ac.at/ABO/+Z180059703
Z180059703,Z257381902,990,0.46218487394957986,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z257381902
Z180059703,Z168354702,990,0.5257567711099309,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168354702
Z180059703,Z183205603,990,0.5325443786982249,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z183205603
Z180059703,Z168352109,990,0.5164319248826291,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168352109
Z180059703,Z103507401,990,0.46742209631728043,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z103507401
Z180059703,Z105518505,990,0.4532967032967033,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z105518505
Z180059703,Z255414503,990,0.4449438202247191,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z255414503
Z180059703,Z168351506,990,0.5365853658536586,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168351506
Z180059703,Z168355305,990,0.5224274406332454,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168355305
Z180059703,Z168352900,990,0.47255369928400953,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168352900
Z180059703,Z19753230X,990,0.3826826439891767,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z19753230X
Z180059703,Z175174804,990,0.4972375690607735,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z175174804
Z180059703,Z15957400X,990,0.4771084337349398,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z15957400X
Z180059703,Z260071609,990,0.5038167938931297,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z260071609
