a,b,num_pairs,normalized,url_a,url_b
Z185142104,Z25647300X,154,0.48580441640378547,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z25647300X
Z185142001,Z185158008,144,0.4630225080385852,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z185158008
Z185142001,Z168096506,144,0.16216216216216217,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z168096506
Z163300909,Z165709803,140,0.14084507042253522,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z165709803
Z163300909,Z156771000,140,0.15021459227467812,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z156771000
Z163300909,Z185157107,140,0.24096385542168675,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z185157107
Z163300909,Z168354106,140,0.24866785079928952,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z168354106
Z163300909,Z185157909,140,0.23178807947019867,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z185157909
Z165709803,Z160260500,140,0.1543550165380375,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z160260500
Z156771000,Z160260500,140,0.16568047337278108,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z160260500
Z160260500,Z185157107,140,0.2834008097165992,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z185157107
Z160260500,Z168354106,140,0.29411764705882354,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z168354106
Z160260500,Z185157909,140,0.27079303675048355,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z185157909
Z182822001,Z156577207,140,0.41543026706231456,http://data.onb.ac.at/ABO/+Z182822001,http://data.onb.ac.at/ABO/+Z156577207
Z156577207,Z25647300X,140,0.4416403785488959,http://data.onb.ac.at/ABO/+Z156577207,http://data.onb.ac.at/ABO/+Z25647300X
Z185142001,Z185142104,134,0.5173745173745173,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z185142104
Z15958790X,Z158160208,128,0.12167300380228137,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z158160208
Z185142207,Z18514390X,126,0.1794871794871795,http://data.onb.ac.at/ABO/+Z185142207,http://data.onb.ac.at/ABO/+Z18514390X
Z167120604,Z184929303,126,0.2903225806451613,http://data.onb.ac.at/ABO/+Z167120604,http://data.onb.ac.at/ABO/+Z184929303
Z184929303,Z164172903,126,0.4131147540983607,http://data.onb.ac.at/ABO/+Z184929303,http://data.onb.ac.at/ABO/+Z164172903
Z156843801,Z18514390X,124,0.13596491228070176,http://data.onb.ac.at/ABO/+Z156843801,http://data.onb.ac.at/ABO/+Z18514390X
Z178362103,Z18514390X,124,0.26439232409381663,http://data.onb.ac.at/ABO/+Z178362103,http://data.onb.ac.at/ABO/+Z18514390X
Z180631800,Z18514390X,124,0.13854748603351955,http://data.onb.ac.at/ABO/+Z180631800,http://data.onb.ac.at/ABO/+Z18514390X
Z15657730X,Z18514390X,124,0.28703703703703703,http://data.onb.ac.at/ABO/+Z15657730X,http://data.onb.ac.at/ABO/+Z18514390X
Z176245508,Z18514390X,124,0.09494640122511486,http://data.onb.ac.at/ABO/+Z176245508,http://data.onb.ac.at/ABO/+Z18514390X
Z182900000,Z18514390X,124,0.3107769423558897,http://data.onb.ac.at/ABO/+Z182900000,http://data.onb.ac.at/ABO/+Z18514390X
Z168091302,Z18514390X,124,0.23529411764705882,http://data.onb.ac.at/ABO/+Z168091302,http://data.onb.ac.at/ABO/+Z18514390X
Z18514390X,Z184140306,124,0.23574144486692014,http://data.onb.ac.at/ABO/+Z18514390X,http://data.onb.ac.at/ABO/+Z184140306
Z18514390X,Z168353709,124,0.2799097065462754,http://data.onb.ac.at/ABO/+Z18514390X,http://data.onb.ac.at/ABO/+Z168353709
Z18514390X,Z164752105,124,0.32717678100263853,http://data.onb.ac.at/ABO/+Z18514390X,http://data.onb.ac.at/ABO/+Z164752105
Z18514390X,Z165780108,124,0.226691042047532,http://data.onb.ac.at/ABO/+Z18514390X,http://data.onb.ac.at/ABO/+Z165780108
Z165709803,Z185158008,120,0.16348773841961853,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z185158008
Z165709803,Z168096506,120,0.09153318077803203,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z168096506
Z185142001,Z156577207,120,0.46332046332046334,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z156577207
Z156771000,Z185158008,120,0.17857142857142858,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z185158008
Z156771000,Z168096506,120,0.09607686148919135,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z168096506
Z185157107,Z185158008,120,0.37383177570093457,http://data.onb.ac.at/ABO/+Z185157107,http://data.onb.ac.at/ABO/+Z185158008
Z185157107,Z168096506,120,0.133630289532294,http://data.onb.ac.at/ABO/+Z185157107,http://data.onb.ac.at/ABO/+Z168096506
Z185157909,Z185158008,120,0.3488372093023256,http://data.onb.ac.at/ABO/+Z185157909,http://data.onb.ac.at/ABO/+Z185158008
Z185157909,Z168096506,120,0.13029315960912052,http://data.onb.ac.at/ABO/+Z185157909,http://data.onb.ac.at/ABO/+Z168096506
Z168354106,Z185158008,120,0.39603960396039606,http://data.onb.ac.at/ABO/+Z168354106,http://data.onb.ac.at/ABO/+Z185158008
Z168354106,Z168096506,120,0.13636363636363635,http://data.onb.ac.at/ABO/+Z168354106,http://data.onb.ac.at/ABO/+Z168096506
Z185142104,Z185157909,114,0.3904109589041096,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z185157909
Z15958790X,Z182822001,112,0.24888888888888888,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z182822001
Z15958790X,Z25647300X,112,0.26046511627906976,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z25647300X
Z182822001,Z158160208,112,0.10606060606060606,http://data.onb.ac.at/ABO/+Z182822001,http://data.onb.ac.at/ABO/+Z158160208
Z158160208,Z25647300X,112,0.10810810810810811,http://data.onb.ac.at/ABO/+Z158160208,http://data.onb.ac.at/ABO/+Z25647300X
Z165709803,Z185142104,110,0.16129032258064516,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z185142104
Z156771000,Z185142104,110,0.1774193548387097,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z185142104
Z185142104,Z185157107,110,0.40892193308550184,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z185157107
Z185142104,Z168354106,110,0.43824701195219123,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z168354106
Z253367704,Z164172903,108,0.1355081555834379,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z164172903
Z253367704,Z167120604,108,0.11663066954643629,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z167120604
Z156843801,Z185912505,104,0.0858085808580858,http://data.onb.ac.at/ABO/+Z156843801,http://data.onb.ac.at/ABO/+Z185912505
