cluster,barcode,abo_url
54,Z17890510X,http://data.onb.ac.at/ABO/+Z17890510X
54,Z159587704,http://data.onb.ac.at/ABO/+Z159587704
55,Z167242904,http://data.onb.ac.at/ABO/+Z167242904
55,Z164595905,http://data.onb.ac.at/ABO/+Z164595905
55,Z185182709,http://data.onb.ac.at/ABO/+Z185182709
55,Z155625802,http://data.onb.ac.at/ABO/+Z155625802
55,Z185186909,http://data.onb.ac.at/ABO/+Z185186909
55,Z155626004,http://data.onb.ac.at/ABO/+Z155626004
55,Z168680502,http://data.onb.ac.at/ABO/+Z168680502
55,Z167369102,http://data.onb.ac.at/ABO/+Z167369102
56,Z178905007,http://data.onb.ac.at/ABO/+Z178905007
56,Z17890460X,http://data.onb.ac.at/ABO/+Z17890460X
56,Z17837970X,http://data.onb.ac.at/ABO/+Z17837970X
56,Z178378809,http://data.onb.ac.at/ABO/+Z178378809
56,Z178379000,http://data.onb.ac.at/ABO/+Z178379000
56,Z178904908,http://data.onb.ac.at/ABO/+Z178904908
56,Z178378706,http://data.onb.ac.at/ABO/+Z178378706
56,Z178379607,http://data.onb.ac.at/ABO/+Z178379607
57,Z174867309,http://data.onb.ac.at/ABO/+Z174867309
57,Z174867401,http://data.onb.ac.at/ABO/+Z174867401
57,Z174867103,http://data.onb.ac.at/ABO/+Z174867103
57,Z174867504,http://data.onb.ac.at/ABO/+Z174867504
57,Z182419206,http://data.onb.ac.at/ABO/+Z182419206
57,Z174867206,http://data.onb.ac.at/ABO/+Z174867206
57,Z174355700,http://data.onb.ac.at/ABO/+Z174355700
57,Z174867000,http://data.onb.ac.at/ABO/+Z174867000
58,Z156725300,http://data.onb.ac.at/ABO/+Z156725300
58,Z124958704,http://data.onb.ac.at/ABO/+Z124958704
58,Z156725002,http://data.onb.ac.at/ABO/+Z156725002
58,Z124958807,http://data.onb.ac.at/ABO/+Z124958807
58,Z156725208,http://data.onb.ac.at/ABO/+Z156725208
58,Z156724903,http://data.onb.ac.at/ABO/+Z156724903
58,Z156725105,http://data.onb.ac.at/ABO/+Z156725105
58,Z124958601,http://data.onb.ac.at/ABO/+Z124958601
59,Z173319906,http://data.onb.ac.at/ABO/+Z173319906
59,Z148209908,http://data.onb.ac.at/ABO/+Z148209908
59,Z59447805,http://data.onb.ac.at/ABO/+Z59447805
59,Z173320106,http://data.onb.ac.at/ABO/+Z173320106
59,Z157356107,http://data.onb.ac.at/ABO/+Z157356107
59,Z124928700,http://data.onb.ac.at/ABO/+Z124928700
59,Z173320003,http://data.onb.ac.at/ABO/+Z173320003
59,Z173325402,http://data.onb.ac.at/ABO/+Z173325402
60,Z220964604,http://data.onb.ac.at/ABO/+Z220964604
60,Z148210200,http://data.onb.ac.at/ABO/+Z148210200
60,Z98088809,http://data.onb.ac.at/ABO/+Z98088809
60,Z173319803,http://data.onb.ac.at/ABO/+Z173319803
60,Z173325505,http://data.onb.ac.at/ABO/+Z173325505
60,Z220964501,http://data.onb.ac.at/ABO/+Z220964501
60,Z157356004,http://data.onb.ac.at/ABO/+Z157356004
60,Z220964409,http://data.onb.ac.at/ABO/+Z220964409
60,Z221543606,http://data.onb.ac.at/ABO/+Z221543606
61,Z97797801,http://data.onb.ac.at/ABO/+Z97797801
61,Z223946303,http://data.onb.ac.at/ABO/+Z223946303
61,Z223946406,http://data.onb.ac.at/ABO/+Z223946406
61,Z223946509,http://data.onb.ac.at/ABO/+Z223946509
61,Z97793807,http://data.onb.ac.at/ABO/+Z97793807
61,Z97794101,http://data.onb.ac.at/ABO/+Z97794101
61,Z97794009,http://data.onb.ac.at/ABO/+Z97794009
61,Z97794204,http://data.onb.ac.at/ABO/+Z97794204
61,Z9779390X,http://data.onb.ac.at/ABO/+Z9779390X
62,Z155500409,http://data.onb.ac.at/ABO/+Z155500409
62,Z164597409,http://data.onb.ac.at/ABO/+Z164597409
62,Z207502407,http://data.onb.ac.at/ABO/+Z207502407
62,Z20750250X,http://data.onb.ac.at/ABO/+Z20750250X
62,Z164597501,http://data.onb.ac.at/ABO/+Z164597501
62,Z164597306,http://data.onb.ac.at/ABO/+Z164597306
62,Z176595507,http://data.onb.ac.at/ABO/+Z176595507
62,Z160777107,http://data.onb.ac.at/ABO/+Z160777107
62,Z158072605,http://data.onb.ac.at/ABO/+Z158072605
63,Z183123404,http://data.onb.ac.at/ABO/+Z183123404
63,Z124117503,http://data.onb.ac.at/ABO/+Z124117503
63,Z124117308,http://data.onb.ac.at/ABO/+Z124117308
63,Z124117709,http://data.onb.ac.at/ABO/+Z124117709
63,Z171655009,http://data.onb.ac.at/ABO/+Z171655009
63,Z124117205,http://data.onb.ac.at/ABO/+Z124117205
63,Z197224008,http://data.onb.ac.at/ABO/+Z197224008
63,Z124117606,http://data.onb.ac.at/ABO/+Z124117606
63,Z174993200,http://data.onb.ac.at/ABO/+Z174993200
64,Z183123301,http://data.onb.ac.at/ABO/+Z183123301
64,Z166815404,http://data.onb.ac.at/ABO/+Z166815404
64,Z166815301,http://data.onb.ac.at/ABO/+Z166815301
64,Z162784309,http://data.onb.ac.at/ABO/+Z162784309
64,Z198217206,http://data.onb.ac.at/ABO/+Z198217206
64,Z174384803,http://data.onb.ac.at/ABO/+Z174384803
64,Z183123507,http://data.onb.ac.at/ABO/+Z183123507
64,Z205241001,http://data.onb.ac.at/ABO/+Z205241001
64,Z175064403,http://data.onb.ac.at/ABO/+Z175064403
64,Z198217103,http://data.onb.ac.at/ABO/+Z198217103
65,Z156059208,http://data.onb.ac.at/ABO/+Z156059208
65,Z16665990X,http://data.onb.ac.at/ABO/+Z16665990X
65,Z178425903,http://data.onb.ac.at/ABO/+Z178425903
65,Z178425101,http://data.onb.ac.at/ABO/+Z178425101
65,Z17842490X,http://data.onb.ac.at/ABO/+Z17842490X
65,Z178424807,http://data.onb.ac.at/ABO/+Z178424807
65,Z166660007,http://data.onb.ac.at/ABO/+Z166660007
65,Z185987803,http://data.onb.ac.at/ABO/+Z185987803
65,Z178425009,http://data.onb.ac.at/ABO/+Z178425009
65,Z178424704,http://data.onb.ac.at/ABO/+Z178424704
66,Z197445402,http://data.onb.ac.at/ABO/+Z197445402
66,Z197445104,http://data.onb.ac.at/ABO/+Z197445104
66,Z19744480X,http://data.onb.ac.at/ABO/+Z19744480X
66,Z197445505,http://data.onb.ac.at/ABO/+Z197445505
66,Z197445207,http://data.onb.ac.at/ABO/+Z197445207
66,Z197445001,http://data.onb.ac.at/ABO/+Z197445001
66,Z19744530X,http://data.onb.ac.at/ABO/+Z19744530X
66,Z197445608,http://data.onb.ac.at/ABO/+Z197445608
66,Z197445803,http://data.onb.ac.at/ABO/+Z197445803
66,Z197445700,http://data.onb.ac.at/ABO/+Z197445700
67,Z167109700,http://data.onb.ac.at/ABO/+Z167109700
67,Z179380101,http://data.onb.ac.at/ABO/+Z179380101
67,Z167109608,http://data.onb.ac.at/ABO/+Z167109608
